Date,Event,Distance,Metric,Time,Pace,Place,Starters,Notes
1/1/80,East Potomac,10,km,12:39:06 AM,6:18,100,800,
3/15/80,Virginia Beach,26,miles,,,,,
3/23/80,Montgomery Village,10,km,12:39:29 AM,6:21,,,
3/30/80,Sligo Jr High,8.4,miles,12:53:00 AM,6:19,8,47,
4/20/80,Civic Center,8.2,miles,12:53:06 AM,6:28,4,23,
5/4/80,Whites Ferry,12.84,miles,1:24:59 AM,6:37,4,16,
5/18/80,Lake Need,6,miles,12:37:43 AM,6:17,4,28,
6/7/80,Robert Frost,4,miles,12:24:28 AM,6:07,4,13,
7/27/80,Senecca State Park,4,miles,12:24:30 AM,6:07,10,42,
9/13/80,Gettysburg Marathon,26,miles,3:17:22 AM,7:32,98,441,
11/30/80,Senecca State Park,5,km,12:19:05 AM,6:09,1,20,
12/28/80,Montgomery Village,10,km,12:39:08 AM,6:18,9,48,
1/10/81,White Oaks Jr High,8,miles,12:53:00 AM,6:38,9,54,
4/25/81,Montgomery Village,10,km,12:38:55 AM,6:16,7,200,
10/18/81,Montgomery College,10,km,12:40:06 AM,6:27,89,500,
11/14/81,St.Petersburg,5,km,12:18:22 AM,5:55,30,220,Nature trail
12/27/81,Civic Center,10,km,12:38:30 AM,6:12,8,75,
1/16/82,Sligo Jr High,2,miles,12:12:51 AM,6:25,1,18,
2/6/82,White Oaks Jr High,8,miles,12:50:08 AM,6:16,8,92,
2/21/82,"Coluumbia, Md",10,miles,1:02:19 AM,6:14,78,213,
3/14/82,Montgomery Village,10,km,12:37:44 AM,6:04,9,,
4/4/82,Cherry Blossom,10,miles,1:04:26 AM,6:27,506,3008,
4/10/82,Senecca State Park,5,km,12:17:51 AM,5:45,1,30,
4/25/82,Shady Grove,5,miles,12:29:46 AM,5:57,24,420,
6/13/82,Columbia Birthday,13,miles,1:23:21 AM,6:21,42,,
6/27/82,Walter Johnson ,3,miles,12:17:32 AM,5:51,17,91,
8/7/82,Fort Meade 24 hour relay,23,miles,,5:43,32,188,Team event
10/17/82,Rockville Run,10,km,12:36:42 AM,5:54,27,400,
11/7/82,Marine Corps,26,miles,3:07:01 AM,7:10,1452,9996,
8/1/83,24 Hour relay,,,,5:40,,,
10/1/83,Lung Run,10,km,12:36:14 AM,5:50,,,
11/1/83,Marine Corps,26,miles,3:03:00 AM,6:59,,,
12/1/83,Baltimore Marathon,26,miles,3:05:00 AM,7:03,,,
1/1/84,Hangover Classic,10,km,12:37:50 AM,6:05,,,
1/8/84,Bowie,10,km,12:38:41 AM,6:13,,,Quotes around distance and time
1/15/84,Robert Frost,4,miles,12:24:13 AM,6:03,6,56,
1/29/84,Wheaton Royal Mile Pub,10,miles,1:00:45 AM,6:05,8,52,Quotes around distance and time
2/11/84,White Oaks Jr High,8,miles,12:50:07 AM,6:16,17,115,
3/1/84,Shamrock Marathon,26,miles,2:58:00 AM,6:47,,,
3/10/84,Sligo Jr High,5,miles,12:30:20 AM,6:04,17,110,
3/17/84,Virginia Beach,26,miles,3:06:50 AM,7:08,177,1142,
4/1/84,DC Marthon,26,miles,3:02:00 AM,6:56,,,
4/15/84,Fritzbe's Rockville,10,km,12:37:02 AM,5:58,82,1938,
5/5/84,Chambersburg,26,miles,3:02:40 AM,6:58,23,124,
6/10/84,Olney,8,km,12:30:50 AM,6:12,13,111,
8/1/84,24 Hour relay,,,,5:30,,,
9/1/84,Gettysburg Marathon,26,miles,3:00:00 AM,6:52,,,
9/2/84,Greenbelt,15,km,12:59:52 AM,6:25,25,130,
9/16/84,Philadelphia,13,miles,1:21:11 AM,6:11,,,Very good race!
10/13/84,West Potomac Park DC,10,km,12:37:07 AM,5:58,10,75,
11/1/84,Marine Corps,26,miles,2:55:00 AM,6:40,695,8491,
12/23/84,KenGar Req Ctr,5,miles,12:30:28 AM,6:06,21,110,
1/1/85,Hangover Classic,10,km,12:40:30 AM,,,,
3/1/85,Shamrock Marathon,26,miles,2:50:00 AM,6:29,,,
3/31/85,Cherry Blossom,10,miles,1:06:01 AM,,689,3020,
4/21/85,Fritzbe's Rockville,10,km,12:38:26 AM,,117,2452,
4/28/85,MCRRC,12,km,12:47:46 AM,,28,136,
5/15/85,Senecca State Park,15,km,12:58:24 AM,,2,21,
5/26/85,Constellation Balitmore,10,km,12:36:44 AM,,163,2835,
6/8/85,Civic Center,10,km,12:38:36 AM,,8,76,
6/20/85,BCC High School,1,miles,12:05:16 AM,5:16,32,113,
7/6/85,Great Falls,10,km,12:38:25 AM,,12,150,
7/13/85,Twilighter,8,km,12:30:02 AM,,,,
8/1/85,24 Hour relay,,,,5:20,,,
8/11/85,Olney,8,km,12:30:29 AM,,14,117,
8/18/85,Springbrook High,5,km,12:18:17 AM,,15,67,
9/7/85,Brighten Day,7,miles,12:44:49 AM,,27,135,
9/15/85,Philadelphia,13,miles,1:20:47 AM,,,,
10/12/85,Wheaton Regional Park,5.33,miles,12:31:16 AM,,,,
10/20/85,Rockville Run,10,km,12:36:41 AM,,12,235,
10/27/85,National Symphony,10,km,12:35:46 AM,,,,
11/3/85,Marine Corps,26,miles,2:53:00 AM,6:36,569,7821,
12/1/85,Baltimore Marathon,26,miles,2:56:00 AM,6:43,,,
12/7/85,Jingle Bell,10,km,12:36:55 AM,,,,
4/1/86,Boston Marathon,26,miles,2:48:00 AM,6:24,,,
8/1/86,24 Hour relay,,,,5:20,,,
10/1/86,New York Marathon,26,miles,2:55:00 AM,6:40,,,
1/19/86,MCRRC,20,km,1:21:27 AM,6:33,,,Used as pace
2/16/86,GW Birthday,26,miles,3:29:20 AM,7:59,,,Used as long training
2/23/86,RRCA,10,miles,1:00:33 AM,6:03,49,294,
3/1/86,Anne Arundel,5,km,12:17:30 AM,5:38,12,148,
3/15/86,Shamrock Marathon,26,miles,,,,,
4/13/86,Bay Ridge,10,km,12:36:28 AM,5:52,60,2526,
4/20/86,Fritzbe's Rockville,10,km,12:36:15 AM,5:50,58,2800,
5/18/86,FOP,10,km,12:36:53 AM,5:56,,,
5/25/86,Constellation Balitmore,10,km,12:35:09 AM,5:39,80,2500,
9/21/86,Olde Towne Day,8,km,12:29:23 AM,5:55,7,200,
10/11/86,Wheaton Regional Park,5.33,miles,12:31:09 AM,5:51,,,
10/19/86,Rockville Run,10,km,12:36:53 AM,5:56,,,
1/1/94,Hangover Classic,8,km,,,,,
2/6/94,Olney,8,km,12:32:29 AM,6:32,,,
2/27/94,Club Challenge,10,miles,1:06:28 AM,6:39,54,159,
3/13/94,Senecca State Park,15,km,1:01:46 AM,6:38,,,
4/10/94,Cherry Blossom,10,miles,1:05:06 AM,6:39,,,
4/28/94,NIST,8,km,12:34:18 AM,6:53,,,
5/7/94,Greenbelt,8,km,12:31:43 AM,6:23,,,
5/22/94,Constellation Balitmore,10,km,12:38:46 AM,6:14,,,
7/16/94,Twilighter,8,km,12:30:40 AM,6:10,33,275,
8/28/94,Annapolis,10,miles,1:04:16 AM,6:26,32,523,
9/18/94,MS,13,miles,1:24:33 AM,6:27,13,168,
10/9/94,Georgetown Classic,10,km,12:38:06 AM,6:08,,,
10/23/94,Marine Corps,26,miles,3:11:59,7:19,284,3398,
11/25/94,Senecca State Park,10,miles,1:05:13 AM,6:31,,,
12/18/94,Jingle Bell,8,km,12:30:39 AM,6:10,,,
1/21/95,Fredrick Steeple Chases,6,miles,12:37:10 AM,6:14,1,13,
2/26/95,RRCA,10,miles,1:02:44 AM,6:24,,,
3/26/95,River Rumble,13,miles,1:15:13 AM,6:30,,,
4/9/95,Terrapin Trot,5,km,0:17:50,5:44,,,
4/17/95,Boston Marathon,26,miles,3:09:03,7:13,,,
6/3/95,Capital Crescent Trot,5,km,6:32:00 AM,5:59,,,
6/8/95,NIST,8,km,12:33:39 AM,6:44,,,
7/4/95,Fort Richie Independence Day,10,km,12:38:39 AM,6:13,10,120,
9/17/95,Philadelphia,13,miles,1:02:08 AM,6:16,70,954,
10/7/95,Reefer Baltimore,5,km,0:18:24,5:55,,,
10/15/95,Chicago Marathon,26,miles,3:08:50,7:12,162,1167,
11/19/95,White Flint,8,km,12:29:55 AM,6:01,,,
7/15/95,Twilighter,8,km,12:32:11 AM,6:28,,,
7/21/95,MCRRC,5,km,12:18:26 AM,5:56,,,
8/5/95,Demascus,8,km,12:28:18 AM,6:01,14,126,
8/27/95,Annapolis,10,miles,1:03:44 AM,6:18,79,2370,
12/3/95,Jingle Bell,10,km,0:38:08,6:09,,,
12/24/95,Rockville Senior Center,8,km,0:30:52,6:12,14,160,
1/27/96,Myrtle Beach,15,km,12:57:33 AM,6:10,3,17,Myrtle Beach
2/11/96,Hampton Half Marathon,13,miles,1:31:32,6:59,,,Hampton 
3/10/96,River Rumble,13,miles,1:26:05 AM,6:34,4,11,
3/24/96,Senecca State Park,10,km,0:38:50,6:15,4,23,
4/6/96,Robert Frost,6,miles,12:38:01 AM,6:20,3,7,
4/15/96,Boston Marathon,26,miles,3:26:49,7:45,,,
5/26/96,Constellation Balitmore,10,km,12:37:34 AM,6:03,78,920,
6/1/96,Capital Crescent Trot,5,km,12:18:15 AM,5:53,5,15,
6/13/96,NIST,8,km,12:33:41 AM,6:46,6,37,
6/27/96,MCRRC,1,miles,5:26:00 AM,5:26,5,14,
7/4/96,Fort Richie Independence Day,10,km,12:38:13 AM,6:09,,,
7/20/96,Rotary Run,8,km,12:30:05 AM,6:03,,,
9/8/96,Fair Lakes,8,km,12:31:22 AM,6:19,17,334,
9/21/96,Harder & Weaver,5,km,12:19:02 AM,6:09,9,70,
1/4/97,MCRRC,4,miles,12:25:43 AM,6:26,6,20,
2/2/97,MCRRC,8,km,12:31:40 AM,6:19,8,24,
2/23/97,RRCA,10,miles,1:05:47 AM,6:35,,,
3/16/97,St. Paddy Day,10,km,12:38:37 AM,6:13,8,262,
4/27/97,Pikes Peek,10,km,12:41:03 AM,6:36,165,1227,
6/7/97,Capital Crescent Trot,5,km,12:19:01 AM,6:07,8,15,
7/12/97,Gettysburg,5,km,6:36:00 AM,6:00,122,639,
8/3/97,MCRRC,5,km,12:19:00 AM,6:15,4,21,
8/24/97,Annapolis,10,miles,1:04:45 AM,6:29,21,421,
9/14/97,MS,13,miles,1:17:12 AM,6:39,8,137,
10/12/97,Army,10,miles,1:02:40 AM,6:16,,,
10/26/97,Marine Corps,26,miles,3:14:09 AM,7:24,62,1354,
11/29/97,Senecca State Park,5,miles,12:31:06 AM,6:13,,,
12/21/97,Jingle Bell,8,km,12:30:37 AM,6:09,,,
1/3/98,MCRRC,4,miles,12:25:00 AM,6:15,15,114,
2/1/98,MCRRC,8,km,12:31:11 AM,6:16,20,138,
2/2/98,RRCA,10,miles,1:03:39 AM,6:22,7,50,Beat James Moreland
3/21/98,Shamrock,8,km,12:30:45 AM,6:11,20,130,Virginia Beach
4/5/98,Cherry Blossom,10,miles,1:01:57 AM,6:12,34,695,
4/20/98,Boston Marathon,26,miles,3:12:08 AM,7:20,704,3796,
5/15/98,MCRRC,5,km,12:20:29 AM,6:36,2,23,
5/24/98,Constellation Balitmore,10,km,12:37:51 AM,5:59,,,
6/6/98,Capital Crescent Trot,5,km,12:18:18 AM,5:53,5,28,
6/19/98,NIST,8,km,12:34:18 AM,6:54,29,146,
7/12/98,Gettysburg,5,km,12:18:14 AM,5:52,,,
11/26/98,Turkey Chase,6,miles,12:41:22 AM,6:39,17,361,
1/10/99,BRRC,10,miles,1:09:19 AM,6:56,4,11,
1/24/99,Howard County,10,km,12:40:56 AM,6:35,3,48,
2/7/99,Hampton Half Marathon,13,miles,1:29:23 AM,6:49,,,
